policy,budget,beta,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high,post_shock_ttf_median,collapse_rate_20,recal_cost_spent_post_shock
periodic_partial,20.0,0.3,20.0,20.0,20.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,116.15416337236601,114.72516163856244,117.58316510616959,14.0,10.0,8.0,18.0,0.1304,0.12204109837593947,0.1387589016240605,0.0,0.0,0.0
threshold,20.0,0.3,20.0,20.0,20.0,0.0,0.0,0.0,0.85,0.6852067913923441,1.0147932086076559,1.66,1.5940827165569376,1.7259172834430623,40.6860307581236,39.886555871604784,41.485505644642416,16.0,9.0,11.0,20.0,0.6638000000000001,0.6319666376058918,0.6956333623941083,0.0,0.0,0.0
conservative_bandit,20.0,0.3,20.0,20.0,20.0,3.656,3.420668061054655,3.891331938945345,3.172,3.0543340305273277,3.2896659694726726,0.0,0.0,0.0,71.15803574212026,70.23267776645073,72.08339371778979,13.0,9.0,8.0,17.0,0.3735,0.34626151651127524,0.40073848348872476,0.0,0.0,0.48
periodic_full,20.0,0.4,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,39.81829959216954,39.036546240469114,40.60005294386996,14.0,9.0,9.0,18.0,0.314,0.2927955459739921,0.3352044540260079,0.0,0.0,0.0
periodic_partial,20.0,0.4,20.0,20.0,20.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,115.47970336488508,114.08552533311406,116.8738813966561,14.0,10.0,8.0,18.0,0.1256,0.11711821838959684,0.13408178161040316,0.0,0.0,0.0
threshold,20.0,0.4,20.0,20.0,20.0,0.0,0.0,0.0,0.93,0.759295693550277,1.100704306449723,1.628,1.5597182774201106,1.6962817225798892,40.575349645215155,39.74780697963776,41.40289231079255,15.0,9.0,11.0,20.0,0.6376,0.6056656262999377,0.6695343737000622,0.0,0.0,0.0
conservative_bandit,20.0,0.4,20.0,20.0,20.0,3.848,3.6049556920673993,4.0910443079326,3.076,2.9544778460337,3.1975221539663004,0.0,0.0,0.0,70.66072208535387,69.76208283455767,71.55936133615006,12.0,9.0,8.0,17.0,0.3595,0.33170032815464506,0.3872996718453549,0.0,0.0,0.544
periodic_full,20.0,0.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,40.08986435383458,39.322901119990775,40.85682758767838,14.0,9.0,10.0,19.0,0.318,0.2968916127754287,0.3391083872245713,0.0,0.0,0.0
periodic_partial,20.0,0.5,20.0,20.0,20.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,116.43163767397738,115.01912498064976,117.84415036730499,13.0,10.0,8.0,18.0,0.1276,0.1191666442891877,0.13603335571081226,0.0,0.0,0.0
threshold,20.0,0.5,20.0,20.0,20.0,0.0,0.0,0.0,0.88,0.712931050197902,1.047068949802098,1.648,1.5811724200791606,1.7148275799208392,40.5097179914628,39.71524642410557,41.30418955882003,16.0,8.0,12.0,20.0,0.6534000000000001,0.6219096158359796,0.6848903841640206,0.0,0.0,0.0
conservative_bandit,20.0,0.5,20.0,20.0,20.0,4.224,3.9699758146745463,4.478024185325454,2.888,2.760987907337273,3.015012092662727,0.0,0.0,0.0,71.59152424124613,70.62618057206986,72.55686791042241,13.0,9.0,8.0,17.0,0.33016666666666666,0.30226989998056786,0.35806343335276547,0.0,0.0,0.576
periodic_full,25.0,0.1,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,40.2355250475816,39.48731678405428,40.98373331110893,14.0,9.0,10.0,19.0,0.319,0.29791661072296927,0.34008338927703075,0.0,0.0,0.0
periodic_partial,25.0,0.1,24.0,24.0,24.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,129.97861092573444,129.03767023620108,130.9195516152678,14.0,10.0,9.0,19.0,0.10666666666666666,0.0995866651318961,0.11374666820143722,0.0,0.0,4.0
threshold,25.0,0.1,24.0,24.0,24.0,0.0,0.0,0.0,2.06,1.8806890373606642,2.239310962639336,1.576,1.5042756149442658,1.6477243850557344,41.114142837537365,40.3617624170271,41.86652325804763,17.0,8.0,13.0,21.0,0.6523333333333333,0.6249336546526292,0.6797330120140375,0.0,0.0,0.0
conservative_bandit,25.0,0.1,23.852,23.80606357984569,23.89793642015431,3.774,3.501252938428309,4.046747061571692,4.076,3.933809139821729,4.21819086017827,0.0,0.0,0.0,74.26393233005392,73.18303157731063,75.34483308279721,13.0,9.25,8.0,17.25,0.4025,0.37538814951218297,0.4296118504878171,0.0,0.0,0.912
periodic_full,25.0,0.2,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,40.507675609376584,39.74525969365492,41.270091525098245,14.0,10.0,9.0,19.0,0.315,0.2938189766181375,0.3361810233818625,0.0,0.0,0.0
periodic_partial,25.0,0.2,24.0,24.0,24.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,129.32870845100976,128.34926421406138,130.30815268795814,14.0,10.0,8.0,18.0,0.106,0.09878381600686029,0.11321618399313971,0.0,0.0,4.0
threshold,25.0,0.2,24.0,24.0,24.0,0.0,0.0,0.0,1.81,1.6483575890490492,1.971642410950951,1.676,1.6113430356196197,1.7406569643803802,40.878961788961966,40.12157994149025,41.63634363643368,16.0,9.0,11.0,20.0,0.6396666666666667,0.6107143003537187,0.6686190329796148,0.0,0.0,0.0
conservative_bandit,25.0,0.2,23.88,23.838325025170324,23.921674974829674,4.08,3.791470017812286,4.368529982187714,3.93,3.7814831631711634,4.078516836828837,0.0,0.0,0.0,74.21200002260997,73.03451253676377,75.38948750845617,13.0,10.0,7.0,17.0,0.394,0.3657853629424624,0.42221463705753765,0.0,0.0,1.008
periodic_full,25.0,0.3,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,41.05097690914562,40.2178340570237,41.884119761267534,14.0,9.0,9.0,18.0,0.319,0.29791661072296927,0.34008338927703075,0.0,0.0,0.0
periodic_partial,25.0,0.3,24.0,24.0,24.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,129.88275701307407,128.87188930918714,130.893624716961,13.0,9.25,8.75,18.0,0.10733333333333332,0.10021020986752482,0.11445645679914182,0.0,0.0,4.0
threshold,25.0,0.3,24.0,24.0,24.0,0.0,0.0,0.0,1.87,1.7036815416763422,2.0363184583236578,1.652,1.5854726166705368,1.718527383329463,41.6730607963257,40.89327254224588,42.45284905040552,16.0,11.0,10.0,21.0,0.6453333333333332,0.6162194367768611,0.6744472298898053,0.0,0.0,0.0
conservative_bandit,25.0,0.3,23.908,23.871238866215606,23.944761133784397,4.19,3.8972806516237313,4.4827193483762695,3.882,3.7324763853236163,4.031523614676384,0.0,0.0,0.0,75.28702503028518,74.10235767873067,76.47169238183969,13.0,9.0,8.0,17.0,0.3844,0.3564771051543519,0.41232289484564816,0.0,0.0,0.984
periodic_full,25.0,0.4,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,41.062682876954696,40.216512152300574,41.90885360160882,14.0,9.0,9.0,18.0,0.308,0.28666307792376383,0.32933692207623616,0.0,0.0,0.0
periodic_partial,25.0,0.4,24.0,24.0,24.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,129.58185130078726,128.60544247377194,130.55826012780258,13.0,11.0,7.0,18.0,0.10366666666666667,0.09651579693181493,0.11081753640151841,0.0,0.0,4.0
threshold,25.0,0.4,24.0,24.0,24.0,0.0,0.0,0.0,1.87,1.7036815416763422,2.0363184583236578,1.652,1.5854726166705368,1.718527383329463,41.445099314892566,40.613494312262254,42.27670431752288,16.0,10.0,11.0,21.0,0.648,0.6191375163575116,0.6768624836424885,0.0,0.0,0.0
conservative_bandit,25.0,0.4,23.904,23.866487596856786,23.941512403143214,4.352,4.05684230500115,4.6471576949988505,3.8,3.649247690174128,3.9507523098258717,0.0,0.0,0.0,75.01537776266778,73.7750483531925,76.25570717214306,12.0,10.0,7.0,17.0,0.37360000000000004,0.34511664387611324,0.40208335612388685,0.0,0.0,1.136
periodic_full,25.0,0.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,39.70186402819304,38.94597595953776,40.457752096848324,14.0,9.0,9.0,18.0,0.299,0.27749004898226004,0.32050995101773994,0.0,0.0,0.0
periodic_partial,25.0,0.5,24.0,24.0,24.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,129.81331007936876,128.82459504264924,130.8020251160883,14.0,9.0,8.0,17.0,0.1,0.09277647032371358,0.10722352967628643,0.0,0.0,4.0
threshold,25.0,0.5,24.0,24.0,24.0,0.0,0.0,0.0,1.8,1.6391668983910765,1.9608331016089235,1.68,1.6156667593564307,1.7443332406435692,40.493449765540134,39.71823298107322,41.26866655000705,17.0,7.0,13.0,20.0,0.6403333333333333,0.6119731983638246,0.668693468302842,0.0,0.0,0.0
conservative_bandit,25.0,0.5,23.948,23.920074436417455,23.975925563582546,4.642,4.342572879725447,4.941427120274554,3.666,3.5146756918625877,3.817324308137412,0.0,0.0,0.0,75.67824300542459,74.37422978726852,76.98225622358066,12.0,10.0,7.0,17.0,0.3432,0.3146908812388549,0.3717091187611451,0.0,0.0,1.232
periodic_full,30.0,0.1,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,70.83908183524595,69.53321294405988,72.14495072643201,13.0,9.25,8.75,18.0,0.20866666666666667,0.19451500257315973,0.2228183307601736,0.0,0.0,0.0
periodic_partial,30.0,0.1,28.0,28.0,28.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,133.65212545760104,132.6128814532754,134.69136946192668,13.0,9.0,8.0,17.0,0.09228571428571428,0.08593522543703228,0.09863620313439628,0.0,0.0,0.0
threshold,30.0,0.1,29.564,29.491545157365138,29.636454842634862,0.0,0.0,0.0,1.526,1.2724080507779862,1.7795919492220138,2.346,2.2373177360477086,2.4546822639522916,41.102583970549716,40.296099555706945,41.90906838539249,16.0,9.0,12.0,21.0,0.631904761904762,0.6031471772895451,0.6606623465199788,0.0,0.0,0.0
conservative_bandit,30.0,0.1,29.896,29.823796351598517,29.968203648401484,3.372,2.997417998024989,3.746582001975011,5.788,5.596589302363899,5.9794106976361014,0.0,0.0,0.0,75.89928836600815,74.6445766982157,77.1540000338006,12.5,10.0,7.0,17.0,0.46238095238095234,0.4354073210137481,0.48935458374815655,0.0,0.0,1.256
periodic_full,30.0,0.2,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,71.2434034127703,69.91193967940272,72.57486714613789,14.0,10.0,9.0,19.0,0.21733333333333332,0.2034018306265658,0.23126483604010084,0.0,0.0,0.0
periodic_partial,30.0,0.2,28.0,28.0,28.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,134.6738419708456,133.6886754406227,135.65900850106848,14.0,10.0,8.0,18.0,0.09428571428571428,0.08813996286533922,0.10043146570608934,0.0,0.0,0.0
threshold,30.0,0.2,29.664,29.598392710117157,29.729607289882846,0.0,0.0,0.0,1.176,0.9463744854100454,1.4056255145899543,2.496,2.3975890651757337,2.5944109348242663,40.725266083800115,39.955419387724056,41.49511277987617,17.0,9.0,12.0,21.0,0.6532380952380952,0.6238733866640006,0.6826028038121897,0.0,0.0,0.0
conservative_bandit,30.0,0.2,29.9,29.828180363964716,29.97181963603528,3.774,3.387270039172029,4.160729960827971,5.588,5.391054567186207,5.784945432813793,0.0,0.0,0.0,77.92911826948111,76.60641295771981,79.2518235812424,13.0,9.0,8.0,17.0,0.44495238095238093,0.4164580735771441,0.47344668832761777,0.0,0.0,1.608
