policy,budget,beta,total_cost_spent,probes,partial_recal,full_recal,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,unnecessary_recalibration_rate,mean_performance,mean_performance_ci95_low,mean_performance_ci95_high,best_conservative_for_budget,periodic_full_reward_mean,periodic_partial_reward_mean,periodic_full_ttf_median,periodic_partial_ttf_median
conservative_bandit,80.0,0.5,78.33333333333333,1.1666666666666667,19.0,0.0,63.37518323443967,62.937007320678305,63.81335914820103,81.0,0.0,0.5,0.8901064570971623,0.8845708615366744,0.8956420526576502,False,58.23642555965611,63.138673887613585,29.0,81.0
periodic_full,100.0,,100.0,0.0,0.0,10.0,56.659566968311054,56.187730583388394,57.131403353233715,26.5,28.5,0.3416666666666666,0.8332445871038883,0.8273466322923549,0.8391425419154216,False,,,,
periodic_partial,100.0,,80.0,0.0,20.0,0.0,63.64667134940601,63.31888789742043,63.974454801391595,81.0,0.0,0.5083333333333333,0.8955833918675752,0.8914860987177554,0.899680685017395,False,,,,
conservative_bandit,100.0,0.1,82.16666666666667,1.0833333333333333,20.0,0.0,63.05742931937868,62.70514707171619,63.409711567041164,81.0,0.0,0.44166666666666665,0.890926199825567,0.8865528829534023,0.8952995166977317,False,56.659566968311054,63.64667134940601,26.5,81.0
conservative_bandit,100.0,0.2,82.16666666666667,1.0833333333333333,20.0,0.0,63.182120738819265,62.729338473871124,63.634903003767405,81.0,0.0,0.48750000000000004,0.8924848425685741,0.886726612519349,0.8982430726177991,False,56.659566968311054,63.64667134940601,26.5,81.0
conservative_bandit,100.0,0.3,82.0,1.0,20.0,0.0,63.41267948348392,63.04614203552006,63.77921693144778,81.0,0.0,0.5166666666666666,0.895158493543549,0.8905767754440008,0.8997402116430973,True,56.659566968311054,63.64667134940601,26.5,81.0
conservative_bandit,100.0,0.5,82.16666666666667,1.0833333333333333,20.0,0.0,63.359507384295675,62.96489366779051,63.75412110080084,81.0,0.0,0.5041666666666667,0.8947021756370294,0.8897390537192115,0.8996652975548473,False,56.659566968311054,63.64667134940601,26.5,81.0
periodic_full,120.0,,120.0,0.0,0.0,12.0,54.881039506019924,54.612902069508344,55.149176942531504,37.5,39.0,0.3333333333333333,0.836012993825249,0.8326612758688542,0.8393647117816437,False,,,,
periodic_partial,120.0,,108.0,0.0,27.0,0.0,61.33900978094575,60.89746976821846,61.780549793673046,81.0,0.0,0.5339506172839507,0.901737622261822,0.8962183721027308,0.9072568724209131,False,,,,
conservative_bandit,120.0,0.1,110.0,1.0,27.0,0.0,61.387232225072125,61.087415865959116,61.687048584185135,81.0,0.0,0.5679012345679011,0.9048404028134015,0.9010926983244889,0.9085881073023141,True,54.881039506019924,61.33900978094575,37.5,81.0
conservative_bandit,120.0,0.2,109.33333333333333,1.3333333333333333,26.666666666666668,0.0,60.92213207327928,60.58608135938256,61.258182787176,81.0,0.0,0.518755935422602,0.8981933175826575,0.8940874053100107,0.9022992298553043,False,54.881039506019924,61.33900978094575,37.5,81.0
conservative_bandit,120.0,0.3,109.0,1.5,26.5,0.0,61.14689562005015,60.89507568271017,61.39871555739013,81.0,78.0,0.5499762583095917,0.9005861952506269,0.8973990268755708,0.903773363625683,False,54.881039506019924,61.33900978094575,37.5,81.0
conservative_bandit,120.0,0.5,109.33333333333333,1.3333333333333333,26.666666666666668,0.0,61.289177784219106,61.02724935165194,61.55110621678627,81.0,0.0,0.6006647673314339,0.9027813889694053,0.8996997846117257,0.9058629933270849,False,54.881039506019924,61.33900978094575,37.5,81.0
