policy,budget,beta,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high,post_switch_time_to_failure_median,collapse_rate
periodic_partial,40.0,0.3,40.0,40.0,40.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,151.06060663399734,148.91798012899287,153.2032331390018,12.5,8.25,8.75,17.0,0.08,0.05990371893059532,0.10009628106940469,0.0,0.0
threshold,40.0,0.3,40.0,40.0,40.0,0.0,0.0,0.0,1.75,0.5574687554488271,2.942531244551173,3.3,2.8229875021795308,3.777012497820469,42.27174058291911,39.04603871619609,45.49744244964213,20.0,11.0,13.5,24.5,0.63,0.5273485908773202,0.7326514091226798,0.0,0.0
conservative_bandit,40.0,0.3,39.9,39.763195441671385,40.03680455832861,6.1,5.640875303235072,6.559124696764927,6.925,6.709977580179086,7.140022419820913,0.0,0.0,0.0,131.9406775764548,127.82831544469651,136.05303970821308,12.5,8.25,8.75,17.0,0.10625,0.07763737764343055,0.13486262235656946,0.0,0.0
periodic_full,40.0,0.4,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,107.75694205529672,105.26273181126054,110.2511522993329,12.0,6.5,8.75,15.25,0.15625,0.11826436253205491,0.1942356374679451,0.0,0.0
periodic_partial,40.0,0.4,40.0,40.0,40.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,151.18748130342502,149.9613696072014,152.41359299964864,11.5,11.0,8.0,19.0,0.07250000000000001,0.053948899403719115,0.09105110059628091,0.0,0.0
threshold,40.0,0.4,40.0,40.0,40.0,0.0,0.0,0.0,2.75,1.3486096647276065,4.151390335272394,2.9,2.3394438658910426,3.4605561341089572,40.09241994941556,37.51931479552973,42.665525103301384,18.0,6.25,14.75,21.0,0.655,0.5598818602325482,0.7501181397674519,0.0,0.0
conservative_bandit,40.0,0.4,39.8,39.61168929112522,39.98831070887478,6.2,5.7281782170439834,6.671821782956017,6.85,6.644793162507079,7.05520683749292,0.0,0.0,0.0,130.01028823790068,124.76146702169243,135.25910945410894,11.5,11.0,8.0,19.0,0.10044642857142856,0.07409876481002914,0.12679409233282798,0.0,0.0
periodic_full,40.0,0.5,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,108.9360030244319,105.5717507166288,112.300255332235,15.5,6.5,11.75,18.25,0.18125,0.14621524161819016,0.21628475838180983,0.0,0.0
periodic_partial,40.0,0.5,40.0,40.0,40.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,150.6491114525329,149.09534660741906,152.20287629764675,14.5,10.5,8.5,19.0,0.085,0.06571666057221469,0.10428333942778532,0.0,0.0
threshold,40.0,0.5,40.0,40.0,40.0,0.0,0.0,0.0,2.0,0.744595274168117,3.255404725831883,3.2,2.697838109667247,3.7021618903327536,37.71035102457748,35.263682105648414,40.15701994350654,18.0,4.75,14.5,19.25,0.70125,0.6196722727889341,0.782827727211066,0.0,0.0
conservative_bandit,40.0,0.5,39.7,39.47586542504043,39.924134574959574,5.8,5.30276621605382,6.297233783946179,7.025,6.80883535477291,7.241164645227091,0.0,0.0,0.0,131.7187413137662,127.23698810221875,136.20049452531367,14.5,10.5,8.5,19.0,0.1200892857142857,0.0954009515385415,0.1447776198900299,0.0,0.025
periodic_full,50.0,0.1,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,121.9967800384766,119.62823518018138,124.36532489677182,14.0,8.0,10.0,18.0,0.12000000000000002,0.08924899001033276,0.15075100998966728,0.0,0.0
periodic_partial,50.0,0.1,48.0,48.0,48.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,153.54475239812865,152.00307117666574,155.08643361959156,12.5,12.5,8.0,20.5,0.07916666666666665,0.06071910102610914,0.09761423230722416,0.0,0.0
threshold,50.0,0.1,49.55,49.28788258649693,49.81211741350307,0.0,0.0,0.0,2.7,1.127295518981591,4.272704481018409,3.875,3.2197064662423296,4.53029353375767,40.18298312021123,37.7955998463977,42.57036639402477,20.5,8.75,17.0,25.75,0.6745833333333333,0.5991611484287346,0.750005518237932,0.0,0.0
conservative_bandit,50.0,0.1,49.45,49.16972193294552,49.730278067054485,6.725,5.900617729323872,7.549382270676127,9.0,8.628646274094914,9.371353725905086,0.0,0.0,0.0,135.4460151355342,129.64492723711788,141.2471030339505,12.5,12.5,8.0,20.5,0.10749188311688314,0.07896844387809764,0.13601532235566863,0.0,0.0
periodic_full,50.0,0.2,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,123.34262136486447,121.30095925258881,125.38428347714013,13.5,10.0,9.0,19.0,0.135,0.10560000000000001,0.1644,0.0,0.0
periodic_partial,50.0,0.2,48.0,48.0,48.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,155.48817793179782,154.1889644274466,156.78739143614905,15.0,20.25,9.75,30.0,0.08333333333333333,0.06307432668376262,0.10359233998290404,0.0,0.0
threshold,50.0,0.2,49.7,49.47586542504043,49.924134574959574,0.0,0.0,0.0,1.8,0.45519255024257244,3.144807449757428,4.25,3.689663562601072,4.810336437398928,43.2611915396452,39.788570956283024,46.73381212300738,20.5,7.25,18.0,25.25,0.6504166666666668,0.5685618598769192,0.7322714734564143,0.0,0.0
conservative_bandit,50.0,0.2,49.5,49.228196903849636,49.771803096150364,6.95,6.140805465372019,7.759194534627981,8.9,8.53669099116945,9.26330900883055,0.0,0.0,0.0,136.61613717703216,131.66929160543546,141.56298274862885,15.0,20.25,9.75,30.0,0.11384289321789323,0.09094367872442989,0.1367421077113566,0.0,0.0
periodic_full,50.0,0.3,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,123.99467496035595,121.63901083167663,126.35033908903527,15.0,11.5,10.0,21.5,0.11500000000000002,0.0839699731855971,0.14603002681440294,0.0,0.0
